timestamp_iso,elapsed_s,node,source,far_threshold_cm,near_threshold_cm,sensor_filter,sensor_health,a_queue,b_queue,a_far_cm,a_far_occupied,a_near_cm,a_near_occupied,b_far_cm,b_far_occupied,b_near_cm,b_near_occupied,far_cm,far_occupied,near_cm,near_occupied,queue,local_queue,remote_queue,incoming_count,passed_count,remote_source,remote_stale,green_side,phase,emergency,priority_side,lights_a,lights_b,power_bus_v,power_current_ma,power_mw,tx_backend,payload,rssi_dbm,snr_db,truth_any_vehicle,truth_far,truth_near,truth_note,event_label,raw_line
2026-05-22T19:44:56,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| far=129.Log mode set to SUMMARY
2026-05-22T19:45:18,22.11,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,129.3,0,136.0,0,129.3,0,136.0,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=129.3cm/FREE | B_near=136.0cm/FREE | far=129.3cm/FREE | near=136.0cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:19,23.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,126.2,0,136.8,0,126.2,0,136.8,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=126.2cm/FREE | B_near=136.8cm/FREE | far=126.2cm/FREE | near=136.8cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:20,24.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.5,0,165.5,0,129.8,0,136.4,0,129.8,0,136.4,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.5cm/FREE | A_near=165.5cm/FREE | B_far=129.8cm/FREE | B_near=136.4cm/FREE | far=129.8cm/FREE | near=136.4cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:21,25.11,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.4,0,130.2,0,136.4,0,130.2,0,136.4,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.4cm/FREE | B_far=130.2cm/FREE | B_near=136.4cm/FREE | far=130.2cm/FREE | near=136.4cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:22,26.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.4,0,129.8,0,5.5,0,129.8,0,5.5,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.4cm/FREE | B_far=129.8cm/FREE | B_near=5.5cm/FREE | far=129.8cm/FREE | near=5.5cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:23,27.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.5,0,165.5,0,125.8,0,136.0,0,125.8,0,136.0,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.5cm/FREE | A_near=165.5cm/FREE | B_far=125.8cm/FREE | B_near=136.0cm/FREE | far=125.8cm/FREE | near=136.0cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:24,28.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.5,0,165.4,0,129.7,0,126.4,0,129.7,0,126.4,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.5cm/FREE | A_near=165.4cm/FREE | B_far=129.7cm/FREE | B_near=126.4cm/FREE | far=129.7cm/FREE | near=126.4cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:25,29.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.1,0,165.5,0,129.8,0,133.4,0,129.8,0,133.4,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=129.8cm/FREE | B_near=133.4cm/FREE | far=129.8cm/FREE | near=133.4cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:26,30.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,16.2,1,87.8,0,16.2,1,87.8,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=16.2cm/OCC | B_near=87.8cm/FREE | far=16.2cm/OCC | near=87.8cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:27,31.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.5,0,165.4,0,126.2,0,135.9,0,126.2,0,135.9,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.5cm/FREE | A_near=165.4cm/FREE | B_far=126.2cm/FREE | B_near=135.9cm/FREE | far=126.2cm/FREE | near=135.9cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
